DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,USTAR_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,VPD_1_1_1,WS_1_2_1,PPFD_IN_1_1_2,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_DIF_1_1_1,NETRAD_1_1_1,PPFD_BC_IN_1_1_1,TS_1_1_1,TS_1_2_1,PA_1_1_1
4,1.75,1.8640729525,-4.059208425,4.0872869785,0.542007975,413.882165,1.87606092575,5.676625,5.4708,91.87451959,3.1024403685,1.7647,2.2079,1.108275,1.042075,4.15435,1.3004,0.372135,-7.8577,1.69965,5.065125,5.26455,95.8
4,2.25,1.682885136,-4.472752977,3.5130864145,0.4943253995,414.341425,2.0142293215,5.4587,5.270025,91.6539444075,3.02407377375,1.7719,2.222275,1.118725,1.183175,3.86365,1.304475,0.37543,-7.3149275,1.69985,4.95905,5.2376,95.8
4,2.75,1.56173574925,-5.22198653625,2.8635632215,0.50946109425,414.123882675,2.009226,5.321,5.082275,92.2685552075,2.97989567175,1.89665,2.1659,1.092,1.1084,3.871175,1.30415,0.380485,-7.21765,1.700025,4.89515,5.205525,95.8
4,3.25,1.5324206285,-6.6504161365,3.5413926995,0.491043175,414.05412425,1.85612447125,5.277675,5.117275,92.3026906225,2.8965049275,1.823225,2.136125,1.098075,1.16005,3.8353,1.3063,0.380905,-6.555715,1.699825,4.8646,5.1508,95.8
4,3.75,1.76861598625,-4.819078582,2.59876922225,0.53029875,414.26915,1.8790445,5.1577,4.918325,93.07645677,2.91264422525,1.719825,2.14225,1.10925,1.054,3.995,1.3056,0.38418,-7.1651,1.70045,4.774675,5.08795,95.8
4,4.25,1.390203005,-4.60228,2.274035993,0.511407025,414.197094025,1.828019,5.056775,4.83845,93.7226217425,2.7567986145,1.723,2.2326,1.12875,1.09825,4.19795,1.310525,0.388295,-5.88204,1.700825,4.735625,5.018175,95.9
4,4.75,1.4858696125,-5.633878574,2.612865245,0.5171082765,413.99421155,1.961932,4.98625,4.710075,95.275,2.678465028,1.699425,5.079725,1.311725,3.0369,4.33455,2.987825,1.043075,-5.234025,2.8393,4.655075,4.989625,95.9
4,5.25,1.31409079675,-1.52734,3.57172762425,0.510482825,414.07,1.81498,5.00515,4.699825,95.2086162625,2.676318071,1.775925,37.415,3.439625,20.7005,7.0331,35.632,28.14275,-1.08185,12.560375,4.6642,4.956175,95.9
4,5.75,1.366976725,1.973695401,4.052677123,0.5250641,414.11635,1.86799241,5.083275,4.80555,94.952531205,2.79884632325,1.7374,136.28,11.45325,81.51775,17.78525,139.2575,90.01925,18.465,31.460125,4.5919,4.904625,95.9
4,6.25,1.189940116,21.17066354,5.298143138,0.5521661,413.89857835,1.8991355,5.57775,5.307975,92.9535832975,3.14528861825,1.846225,283.225,24.36225,162.8875,28.07275,302.535,145.0975,70.51225,52.7325,4.5745,4.855325,95.925
4,6.75,1.819136108,49.1834413225,10.53052067,0.60621825125,413.725,2.061627356,6.22115,5.88715,91.203258595,3.5678619595,1.7974,471.5,37.9085,261.2775,35.6105,509.8525,207.83,145.59475,86.091,4.562675,4.821375,95.9
4,7.25,1.63004776,103.4120774,17.36274622,0.663390284,413.65390515,2.24959278025,7.0173,6.7187,88.9453258025,4.0669805855,2.07085,671.77,50.92575,368.93,46.9645,759.81,276.29,226.55175,138.015,4.57415,4.798275,95.9
4,7.75,1.6400107045,151.6470986,24.39563894,0.709648875,412.09881085,2.382854848,7.793875,7.512125,85.8074424825,4.76560764425,2.401475,871.03,64.87,474.5825,59.41375,991.3425,352.675,302.7115,172.875,4.617675,4.784725,95.825
4,8.25,1.411536154,203.8996392,29.9404412,0.769602077,411.1944851,2.4914872785,8.736975,8.445475,83.3,5.627505186,2.5141,1054.875,80.18325,567.4775,72.03725,1178.45,431.7375,381.15925,265.95,4.668875,4.761525,95.8
