DOY2,HR2,CO2,FC,SC,G_1_1_1,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,USTAR,WS_1_1_1
3,0.25,414.4515076,0.108424999,0.009065,-1.0524469615,-7.009389877,-0.034200002,-1.9454349875,-0.138829,97.81445694,86.662750245,-12.96860743,0.291162953,-15.79716015,0.052999999,-2.549838543,0.0923500025,1.439597011
3,0.75,415.006012,0.122222997,0.019200001,-1.0525544885,-5.820690155,-0.034150001,-2.256969929,-0.237128004,97.78379822,86.534667965,-13.11361504,0.25133837,-14.341890335,0.055500001,-2.5498520135,0.107665002,1.287603974
3,1.25,415.3720093,0.120412998,0.00494,-1.067406058,-3.741450071,-0.0822300015,-2.162389994,-0.130665004,97.77378082,87.92150116,-13.49466991,0.196319759,-13.63317966,0.059,-2.548045039,0.095299996,1.182929993
3,1.75,415.86000065,0.129949003,0.01136,-1.055206478,-5.326120138,0.036600001,-1.875295043,-0.1156640015,97.785175325,89.98864746,-14.005459785,0.182731032,-13.2458148,0.063000001,-2.49071002,0.098550003,1.1882519725
3,2.25,416.940506,0.1336710005,0.01014,-1.036535978,-6.916105032,-0.0414,-1.4626049995,-0.148861997,97.78003311,89.77610016,-13.7289896,0.182669982,-13.86657476,0.0655000025,-2.3894485235,0.1130815,1.24237597
3,2.75,417.7049866,0.122769002,0.0104,-1.0346819755,-4.44122982,0.148543999,-1.750440001,-0.083999999,97.828098295,87.88300323,-14.144034865,0.1963732095,-13.15078497,0.0639999995,-2.053045392,0.085100003,1.084511459
3,3.25,417.46150205,0.092600003,0.00416,-1.009145975,-3.7931450605,0.081,-1.518669963,-0.108355999,97.82460022,88.79796219,-14.08125973,0.152875282,-13.00403976,0.066,-2.037961006,0.078900002,1.093183041
3,3.75,422.5015106,0.116697997,0.010375,-0.936109364,-4.174399853,0.0984694995,-1.737300038,-0.121745497,97.83837509,88.9241333,-14.514635085,0.146739632,-11.565205095,0.068000004,-2.0160019395,0.072899997,1.041813493
3,4.25,422.769989,0.1402229965,0.0213000005,-0.981417239,-4.593009949,0.068549998,-0.8763625025,-0.069700001,97.848918915,87.744350435,-14.93138981,0.1633237155,-12.88969517,0.068500001,-2.013530016,0.0713,1.057961464
3,4.75,420.4289856,0.137476996,0.007445,-1.064741969,-4.34199512,0.115150999,-0.474712998,-0.0490000005,97.85922241,91.10638428,-15.14113998,0.077955179,-12.28555965,0.071000002,-1.994713485,0.0902,1.211900949
3,5.25,421.8529968,0.143215999,0.0027055,-1.067322969,-4.430409908,0.153367996,-0.781980991,-0.04005,97.84684753,88.12110138,-15.27326965,0.076349467,-11.23684025,0.068999998,-1.994053483,0.07615,1.062139034
3,5.75,422.5630035,0.114804,0.0011525,-1.0786110165,-3.184420109,0.064999998,-0.5769475105,-0.0189000005,97.87221527,85.970104215,-15.716310025,0.1521690115,-11.5344295485,0.077500001,-1.9776895045,0.0808500015,1.006969035
3,6.25,422.375,0.1216449995,0.005615,-1.080202043,-2.881500006,0.132853001,-0.842490971,-0.047549998,97.883255005,86.423446655,-15.97386503,0.144092664,-8.9908580785,0.135000005,-1.9786735175,0.117141999,1.1466254595
3,6.75,422.9639893,0.141127005,0.00568,-1.080866039,-4.338079929,0.00555,-0.913585514,-0.0903499985,97.886058805,90.70719147,-15.56025028,0.08285331,-11.687729835,3.378499985,-1.9819544555,0.100702003,1.1510815025
3,7.25,421.901001,0.108788997,0.0124,-1.091696024,-2.885040045,0.1783140005,-1.048300028,-0.055599999,97.86009979,87.55509567,-15.89494991,0.110371966,-8.973911285,26.60000038,-1.9862654805,0.0815499985,1.029003024
3,7.75,421.4564972,0.1382929985,0.00841,-1.135470986,-2.816509962,0.068999998,-0.897697985,-0.103100002,97.82904816,85.916877745,-14.84554958,0.170836039,-5.170072079,81.90000153,-1.996886015,0.087700002,1.158933043
3,8.25,421.54449465,0.1612140015,0.003175,-1.18373096,-2.5629650355,0.149661005,-0.790198028,-0.143666498,97.81963348,85.94348907,-14.29614544,0.156660445,-4.395733833,198.5,-1.9932609795,0.099399999,1.126139998
