DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
11,15.75,0.3518575,7.3978,1.51085,4.7886,14.974,37.11,98.93899,391.0725,4.944125,2026.8,87.9735,-0.1576875,-0.1177075,-0.128495,8.9244,2.940275
11,16.25,0.35483,7.09955,1.5169,-7.7529,11.70525,38.0655,98.95443,391.325,4.92195,2035.6,45.30725,0.382105,0.04832875,0.5605225,8.9878,-1.26695
11,16.75,0.28774,6.98335,1.4453,-17.862,9.5067,38.794,98.98327,392.4775,4.998575,2034.175,12.88975,0.6229575,0.091798,1.053225,9.0448,-1.307775
11,17.25,0.22208,6.6766,1.2266,-27.5485,5.319725,39.8435,99.01388,393.655,5.0374,2041.4,-9.049,0.63652,0.241335,1.29655,9.061625,-3.626675
11,17.75,0.15,6.079,0.96616,-28.859,5.168525,42.59475,99.0727,396.57,5.100725,2041.2,-11.77725,0.46152,0.36324,1.69585,9.10205,-1.91855
11,18.25,0.1239575,5.3242,0.86068,-31.541,7.018475,44.08525,99.12219,397.685,5.1742,2051.6,-11.712,0.940815,0.126015,1.906425,9.1273,-2.55935
11,18.75,0.094694,5.06405,0.82507,-27.6805,5.997325,46.06525,99.14639,397.7175,5.282575,2064.75,-11.869,0.7865925,0.14045,1.444,9.1218,-0.75356
11,19.25,0.1260875,4.8139,0.866465,-27.67425,4.9305,48.81775,99.12702,397.12,5.3802,2062.975,-11.7855,0.546005,-0.093073,1.230875,9.14835,-5.2118
11,19.75,0.1311725,4.26775,0.8726025,-29.077,5.696575,50.73575,99.12978,397.495,5.3958,2071.5,-11.8295,0.24257,-0.123015,0.959525,9.162875,-2.657775
11,20.25,0.14662,4.1075,0.892305,-27.72025,5.6585,50.86075,99.10398,398.14,5.487,2067.4,-11.78325,0.75763,-0.16992,1.1526,9.187025,-6.3904
11,20.75,0.13813,3.73775,0.89416,-31.39,5.2379,51.86075,99.07195,398.045,5.2441,2065.9,-12.39475,0.6466875,-0.13603,1.2538,9.19765,-0.8454175
11,21.25,0.13587,3.47205,0.86537,-28.673,4.6254,53.3185,99.06055,397.3,5.2358,2065.3,-12.216,0.50451,-0.19674,0.84971,9.194525,0.8515
11,21.75,0.10627,3.2236,0.82361,-25.02525,4.47065,54.18425,99.10663,397.2725,5.24935,2069.075,-12.06725,0.4919875,-0.16987,1.0898,9.1812,0.13586
11,22.25,0.098944,2.8593,0.74986,-27.62525,4.932,54.43925,99.11112,397,5.3013,2069.275,-12.284,0.67712,-0.22885,1.2412,9.1535,-2.96035
11,22.75,0.079548,2.50125,0.63136,-27.30725,3.36215,55.471,99.11709,396.48,5.240025,2074.475,-12.25,0.286995,-0.295385,0.475875,9.11875,-1.0128475
11,23.25,0.081875,2.1541,0.64801,-27.2255,4.140225,57.525,99.07248,397.8225,5.26275,2083.25,-12.48275,0.4496025,-0.4472375,0.369245,9.121225,0.72354
11,23.75,0.084965,2.0751,0.65693,-28.135,3.7875,58.551,99.07241,398.08,5.110025,2087.65,-12.7535,0.0281805,-0.468765,0.19035,9.0941,0.6002875
12,0.25,0.1360675,-0.97301,0.7938325,-19.146,1.4984,68.007,98.874815,399.505,4.65605,2123.9,-13.1725,0.18657,-0.6167625,0.083083,5.78415,1.410375
12,0.75,0.1461625,-1.1411,0.82352,-17.708,1.4444,68.483,98.854225,400.7275,4.578175,2126.1,-13.187,-0.36945,-0.4247925,-0.258735,5.772,-5.2684
12,1.25,0.1559575,-1.17385,0.8214625,-15.774,1.52515,68.61475,98.876745,400.69,4.6101,2127.9,-13.384,0.0818525,-0.3361225,0.0585315,5.7824,-0.93498
12,1.75,0.163135,-1.24135,0.77317,-17.14825,1.2171,68.94575,98.86008,400.89,4.5767,2129.175,-13.2645,0.0695625,-0.378255,-0.002529,5.7709,-0.42588
12,2.25,0.142195,-1.47595,0.708455,-16.4865,2.9228,69.4275,98.88912,400.195,4.59545,2119.725,-13.4545,0.1098,-0.553275,0.0381625,5.75625,0.13553825
12,2.75,0.1486275,-1.54,0.733365,-16.9915,1.3118,70.155,98.86705,400.2125,4.749125,2131.6,-13.505,-0.0599215,-0.6132975,-0.0921785,5.74145,1.059325
12,3.25,0.12438,-1.59325,0.688255,-15.902,1.6286,69.886,98.84844,400.2975,4.6036,2131.5,-13.437,-0.23108,-0.338255,-0.184985,5.72405,-1.032225
12,3.75,0.123285,-1.72575,0.72664,-17.4975,2.4702,70.3405,98.78791,400.7675,4.646725,2146.975,-13.467,-0.0017688,-0.3207075,0.01191275,5.7014,-0.06231375
12,4.25,0.17094,-1.83285,0.7206525,-16.778,0.7112075,70.635,98.7745125,400.28,4.6953,2151.075,-13.5215,-0.0048049,-0.4582625,-0.4005925,5.6747,-1.699725
12,4.75,0.13712,-1.8641,0.6968,-15.42625,2.22085,70.6315,98.80034,399.89,4.74465,2126.375,-13.4315,0.02240075,-0.5392375,-0.04244325,5.649,-1.4042
12,5.25,0.140735,-1.8612,0.85352,-17.60475,2.3176,70.614,98.771855,399.5075,4.683925,2120.45,-13.3095,0.1451825,-0.326865,0.03378075,5.62825,-0.5160428
12,5.75,0.1439325,-1.91095,0.79148,-17.685,2.3467,71.38375,98.7567375,399.5,4.523875,2116.225,-13.2365,0.00261825,-0.209065,0.10825825,5.6131,-0.11652
12,6.25,0.142695,-1.9309,0.7945,-19.2675,2.6325,71.4605,98.7898575,400.55,4.4934,2114.45,-13.25,0.0802545,-0.177915,0.21859,5.60055,-0.6824775
12,6.75,0.1507375,-1.9079,0.827745,-15.345,1.8995,72.35625,98.828225,399.955,4.579125,2116.775,-13.3045,0.00804085,-0.2426275,-0.22912,5.5888,-0.2329625
12,7.25,0.1589,-2.0202,0.7975125,-16.1865,1.588475,72.107,98.847735,399.8,4.5134,2113,-13.1745,0.158055,-0.09218375,0.32645,5.58935,0.8077775
12,7.75,0.1403,-2.0775,0.83239,-17.5725,2.9004,71.8695,98.883245,400.965,4.49755,2118.325,-11.277,-0.227755,0.01458925,0.45618,5.57685,1.491
