DOY2,HR2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,TA_1_1_1,RH_1_1_1,CO2_1_1_1,H2O_1_1_1,WS_1_1_1,USTAR_1_1_1,TS_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,PA_1_1_1,FC_1_1_1,SC_1_1_1,LE_1_1_1,SLE_1_1_1,H_1_1_1,SH_1_1_1,NEE
2,13.75,824.5868313,55,459.5496283,49.75364794,282.617805,333.9663787,335.345455,3.101017,51.55785,402.281744,4.142406,3.467516,0.62862,2.934133,-2,-4.5,-4.5255115,98.69645,-0.847224,-0.076139,25,-0.145199,182.3645375,-0.10669,0.265034
2,14.25,761.2787,52,423.971933,48.36726115,283,335.24202,312,3.455,50.725,402.28645,4.131499,3.553422,0.620256,3.03875,-1.5,-3.8174755,-4.26166,98.6531525,-0.65347,-0.050886,22,0.3743805,157.471359,-0.046805,0.321629
2,14.75,638.9633745,45,361.7423172,42.13975101,282.3550747,334,257,3.53,50.87474,402.2806205,3.9339355,3.474609,0.591861,3.057873,-1,-3.784814,-4,98.640395,-0.483141,-0.050059,20.868276,0.161884,126.285703,-0.0193705,0.25547
2,15.25,523.131893,38,291.187237,35.33285466,284.3018276,332.003289,192.259336,3.711,50.37774,401.437066,3.895857,3.5443665,0.600385,3.0996,-1,-3.5,-4,98.6428725,-0.4447245,-0.014162,17.43561,0.44075,105.7004305,-0.001883,0.348758
2,15.75,378.1977366,30.050246,222.153346,28.05920093,282.414777,331,131.1899349,3.6532205,50.84871,401.20701,3.98221,3.43424,0.570088,3.1108,-1,-3.5,-4,98.6378325,-0.273621,0.0048315,16,0.604612,82.735623,0.000881,0.275352
2,16.25,268.978315,21,146.0597893,19.506178,282.630441,329,63.65216651,3.59,51.051435,401.678626,4.019496,3.376665,0.554098,3.1148,-1.569853,-3.5,-3.935954,98.6281875,-0.111838,0.046405,12,0.357266,43.1791755,0.016875,0.35053
2,16.75,144.4788,12.06465,82.17788104,12.3992183,280.3330177,327,14.2760341,3.4275,51.995965,402.214548,4.0593005,3.281651,0.505513,3.09575,-2.154982,-3.8858,-4.0816225,98.656895,0.021557,0.126128,7.745752,0.5051685,19.276172,0.046571,0.4270085
2,17.25,48.72287485,4,27,5.079270945,279.8400991,325.1498116,-22,3.277843,52.82509,402.7006175,4.126705,3.12,0.4441755,3.069456,-3,-4.08585,-4.6425745,98.6645475,0.090888,0.1632455,4,0.6857605,-1.5022985,0.060274,0.468183
2,17.75,6.759469,0.435742857,3.771425926,2,278.703991,323,-59,2.8447625,54.810925,403.19207,4.1224565,3.014715,0.369682,2.9907,-3.2996925,-4.5,-5,98.6780775,0.159055,0.198196,1.5622675,0.439431,-8.013504,0.076728,0.547428
2,18.25,0.076454,0,0,1,278,321,-64.2622602,2.647215,56.71,402.6814545,4.0756325,2.92,0.321315,3.0048,-3.5336505,-5,-5,98.692135,0.1943915,0.2018235,1,0.29218,-9.888244,0.0618085,0.542501
2,18.75,0,0,0,1,276.6411054,318.4800408,-63.153655,2.41,58.03012,403.4861495,4.050803,2.9587355,0.314864,2.9245,-4,-5,-5,98.717885,0.1925175,0.212552,0.999833,0.290327,-10.166306,0.0553145,0.51966
2,19.25,0,0,0,1,275.534285,318,-55,2.23,59.47,403.335256,4.075084,3.033111,0.305898,2.878897,-4.5,-5,-5,98.7452475,0.2672635,0.1684,0.8255845,0.196658,-10.945794,0.035226,0.5291145
2,19.75,0,0,0,1,275,316.7798895,-57.64830146,1.876995,61.847,403.961306,4.096141,2.9643935,0.3096245,2.8586,-4.5,-5,-5,98.753425,0.249943,0.150975,0.447542,0.148389,-11.000057,0.036381,0.595773
2,20.25,0,0,0,1,275,316,-54.33344703,1.487,62.16,403.872371,4.112443,3.044989,0.312993,2.8018,-5,-5,-5,98.76326,0.319336,0.103559,1,0.230154,-11.7775765,0.026399,0.562916
2,20.75,0,0,0,1,275,315.247246,-52.189354,1.193193,64.46,404.0307375,4.178612,2.973776,0.317353,2.801377,-5,-5,-5,98.76127,0.329579,0.116843,0.812225,0.097782,-11.524025,0.022982,0.596792
2,21.25,0,0,0,1,274.3344353,314,-52,1.142711,65.53,404.315368,4.181132,3.049225,0.320578,2.777338,-5.331974,-5.0503985,-5,98.74568,0.283018,0.094439,0.62709,0.240882,-12.2123935,0.017934,0.51192
2,21.75,0,0,0,1,273,313,-55.479576,0.81,66.22,404.076027,4.157062,3.098423,0.310199,2.745,-5.791043,-5.052986,-5.262693,98.76081,0.2628205,0.105858,0.451353,0.216167,-11.022165,0.022118,0.545816
2,22.25,0,0,0,1,273,312,-52.195445,0.709666,67.11243,404.336047,4.137083,3.0297255,0.303072,2.722356,-6,-5.402874,-5.338135,98.7765525,0.21084,0.091139,0.402529,0.1861575,-10.526455,0.009554,0.588168
2,22.75,0,0,0,1,274,312,-50.93447246,0.492888,67.06512,404.4753795,4.1539365,3.02,0.297307,2.658157,-6,-5.503585,-5.336334,98.78216,0.304608,0.093738,0.583457,0.199445,-10.880837,-0.000822,0.602701
2,23.25,0,0,0,1,275,311,-46.824993,0.3087725,67.79596,404.821447,4.152701,2.949309,0.293699,2.635968,-6,-5.994759,-5.453163,98.783395,0.295387,0.110962,0.581681,0.1173435,-9.999157,0.008169,0.622123
2,23.75,0,0,0,1,274,311,-46.4039825,0.2429665,67.753765,404.711193,4.1895855,2.931921,0.295021,2.6001265,-6,-6,-5.43148,98.7871125,0.272665,0.093963,0.3755755,-0.013889,-11.131648,-0.005302,0.481111
3,0.25,0,0,0,1,296,337.6318136,-57,6.3,67.28735,405.242539,5.966087,3.091087,0.3064895,6.65135,-2.2964655,-2,-1.611048,98.613745,0.6664635,0.139534,1.3453375,0.121543,-13.727127,0.00726,0.984945
