DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,LW_IN,LW_OUT,VPD
2,15.25,0.17,0.784948961,-1.9074126705,63.888,-10.82,-0.0836107,62.991,0.1405065,99.7594,45.512,11.322,140.6,-0.167531,1.06581,-6.28566,-6.37139,-5.66115,-4.13118,-2.6745975,-5.12672,413.48,237.43,259.985,1.1539
2,15.75,0.237236,0.594364641,-3.25866,44.8844,-11.2731,-0.11331,64.3352,0.133288,99.7218,32.0846,5.9898,99.1081,-0.174279,1.03946,-6.27633,-6.2177,-5.65115,-4.14368,-2.6715975,-5.157495,413.708,232.04,256.825,1.03295
2,16.25,0.239706,0.264836,-4.02397,24.757,-11.9109,-0.13931,66.632,0.125187,99.696,17.8123,0.00955800000000001,58.483,-0.20479,0.84486,-6.26674,-6.13295,-5.63283,-4.16454,-2.6929475,-5.18219,413.712,231.875,253.225,0.81826
2,16.75,0.288031002,0.07227,-4.6782,8.9647,-12.5912,-0.16147,70.2102,0.097085,99.69135,7.84303,-0.9086545,28.2498,-0.205876,0.63038,-6.19294,-6.07125,-5.62753,-4.16972,-2.67533,-5.13387,414.0934,232.395,248.015,0.559995
2,17.25,0.273079,0.03755,-4.446412957,2.2764,-13.47145,-0.2130715,73.08905,0.0763,99.669,1.977235,-1.025054,9.131855,-0.306649,0.518094,-6.15979,-6.0633,-5.6003,-4.16876,-2.65438,-5.1527075,414.66,226.65,240.97,0.37434
2,17.75,0.253831,-0.00308,-3.871471242,0.16144,-14.198,-0.209236,74.698,0.06345,99.67855,0.382906,-1.47488,1.12318,-0.276018,0.4105785,-6.185795,-5.88405,-5.61908,-4.16128,-2.6679025,-5.198003606,415.12185,221.76,235.485,0.356865
2,18.25,0.215242,0.0725,-3.8912376915,0,-15.129,-0.15726,75.013,0.0651,99.69325,0.0983597,-1.603605,0.083302,-0.228223,0.4034865,-6.188415,-5.64955,-5.68804,-4.15005,-2.659615,-5.20589,415.2438,217.54,232.615,0.297525
2,18.75,0.295554,-0.110592834,-3.68399,0,-15.3526,-0.17535,75.1367,0.064,99.6822,0.0920455,-2.091545,0.0216352,-0.24342,0.4259025,-6.144275,-5.5381,-5.68609,-4.1326,-2.656155,-5.219294438,415.8635,215.56,232.015,0.250315
2,19.25,0.2877445465,-0.0693,-3.131549468,0,-15.8843,-0.172819,75.9624,0.0665,99.7126,0.14681,-2.62101,0.0105037,-0.248825,0.423531,-6.14698,-5.4701,-5.67184,-4.13814,-2.65114,-5.160255,415.867,212.41,230.1,0.226175
2,19.75,0.267987,-0.1478472465,-3.598265,0,-16.3829,-0.196305,75.7108,0.066,99.708,0.212693,-1.810395,0.00654187,-0.284303,0.417205,-6.161805,-5.4188,-5.6362,-4.11463,-2.64892,-5.244614336,416.206,213.5,229.76,0.228055
2,20.25,0.309323,0.0191,-3.46225,0,-16.5447,-0.224939,75.8809,0.0618,99.7404,0.264711,-2.03893,0.00613788,-0.281229,0.43462,-6.16721,-5.40358,-5.62398,-4.11125,-2.6437475,-5.321205412,416.57,216.04,227.37,0.21471
2,20.75,0.2981327015,-0.14233,-3.201545,0,-16.81595,-0.2537135,75.46785,0.063025,99.7494,0.3052485,-2.67474,0.005464775,-0.3365425,0.434778,-6.1949,-5.4002,-5.62126,-4.163905,-2.67016,-5.314545,416.79,217.685,226.325,0.205675
2,21.25,0.338661055,-0.0274,-3.442248435,0,-16.94655,-0.2638885,75.374,0.0644,99.727,0.324908,-3.026945,0.00435346,-0.340551,0.425151,-6.1963,-5.4825,-5.62369,-4.148545,-2.668975,-5.240045,417.415,219.2,227.67,0.211565
2,21.75,0.326427054,0.0638,-3.9281,0,-16.96755,-0.284965,75.73035,0.0695,99.69295,0.315277,-2.922375,0.00257289,-0.345194,0.44862,-6.1831,-5.6968,-5.619095,-4.130425,-2.65859,-5.20933,417.69,217.33,230.1,0.209655
2,22.25,0.317122696,0.03945,-3.693809951,0,-17.14315,-0.304549,75.29325,0.069115,99.72525,0.280508,-2.41629,0.001539115,-0.3473415,0.42333,-6.1849,-5.674,-5.613005,-4.131705,-2.651655,-5.1144925,418.19,213.59,229.82,0.19993
2,22.75,0.293052,0.11457178,-2.609935,0,-17.4172,-0.2903635,74.97165,0.0737,99.7022,0.278273,-2.1157,0.001702165,-0.384426,0.411725,-6.1607,-5.4452,-5.624575,-4.129565,-2.650765,-5.072855,417.47245,214.11,229.49,0.217635
2,23.25,0.309504308,0.151729,-2.705,0,-17.6166,-0.2962865,75.53345,0.0705,99.6902,0.309643,-2.3408,0.00173999,-0.379861,0.4055,-6.1639,-5.5779,-5.613315,-4.13832,-2.643435,-5.0475175,416.88445,214.11,228.18,0.215705
2,23.75,0.339060123,0.15078,-2.767155,0,-17.6523,-0.308774,75.8413,0.0626,99.6978,0.2874185,-2.75875,0.00121343,-0.3710145,0.414919,-5.9073,-5.58625,-5.42283,-4.109395,-2.47505,-4.8983025,419.405,213.18,228.935,0.209735
3,0.25,0.379680117,0.03375,-3.640712438,0,-13.6025,-0.13142,75.2668,0.06745,99.6328,0.40997,-14.8575,0.000493959,-0.215071,0.407605,-3.33115,-2.90238,-3.18975,-2.2843,-1.849105,-2.973995,422.3234,223.62,242.4,0.302325
