DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA
2,12.75,17.49159,12.605355,1.313582,0.2515248,1.076778,434.7826,-1.09532,-1.08,429.6396,328.45165,227.3722,289.3067,74.189455,-6.0187835,57.681335,1.648257,2058.7925,2.087005,0.0005640551,0.012016005,0.40274085,-0.07995895,95.79776
2,13.25,13.3,12.91947,1.296898762,0.2554114,1.211451,383.4312,-1.1102615,-1.1004185,429.53595,308.09395,226.98915,288.6581,66.449075,-5.722583,56.161665,1.565966,2052.325,3.070849,-0.006806325,0.02293824,0.40025045,-0.045626245,95.774895
2,13.75,11.209195,12.58411,1.261919,0.255817151,1.258891,356.7202,-1.051012,-1.074312,429.61585,287.20715,225.3047,289.2224,58.91391,-5.5651835,57.279335,1.571849,2053.757,2.74741,-0.0080584265,0.02325652,0.2446099,-0.027696635,95.76303
2,14.25,11.33,12.15836,1.346862,0.2510693515,1.3909675,316.0287,-1.1164205,-1.1063515,429.45865,246.0386,227.4068,287.9977,48.065045,-5.122967,57.80601,1.65036,2053.49,3.0123475,-0.01134538,-0.004886794,0.1305778,-0.05711842,95.759805
2,14.75,5.374828,11.95074,1.30810213,0.2569024,1.4386365,259.6204,-0.949644468,-0.915708,429.33805,208.71665,223.29155,285.9009,33.06804,-5.425184,56.98667,1.6204445,2053.421,2.618035,-0.003155892,-0.02453874,0.0077719875,-0.020937255,95.75736
2,15.25,2.427065,10.30047,1.238921359,0.2411451,1.4207825,224.2564,-0.96277965,-0.9420749,429.55695,162.5186,226.7044,284.11215,22.67721,-5.5893995,56.749835,1.6277435,2053.632,3.2757195,-0.006492133,-0.01511301,-0.02086248,-0.03833421,95.75844
2,15.75,-3.387742,9.499821,1.226232,0.220723282,1.267196,164.1657,-0.830515941,-0.8210719,428.9041,111.76495,221.2742,281.1784,11.203085,-5.546083,56.16025,1.6755005,2051.603,3.109847,-0.0132575,-0.02555776,-0.38879205,-0.09081135,95.77696
2,16.25,-11.86294,8.758327,1.168648,0.2116291,1.32457,94.22184,-0.3826063,-0.36136395,429.3108,61.547835,216.195,275.32255,-14.101485,-6.02165,56.793165,1.5553205,2052.404,2.42583,-0.009264912,-0.03625906,-0.49633745,-0.01034174,95.78684
2,16.75,-14.06797,6.579861,0.9661768,0.1849937,1.082279,29.68133,-0.122299702,-0.1106169,428.76385,22.96558,212.7167,269.96905,-34.906505,-6.5239,60.74167,1.503183,2050.769,2.56066,-0.00887486,-0.04196555,-0.80295775,-0.074964065,95.8089
2,17.25,-13.946125,4.6276695,0.784778346,0.145343495,0.7697312,7.715126,-0.064983215,-0.03333748,428.5231,7.2357085,214.95885,264.56405,-48.441175,-8.5835505,69.5755,1.4848435,2053.273,2.0401055,0.0009950995,-0.05030877,-1.185459,-0.03897635,95.85382
2,17.75,-10.97797,3.2313835,0.6412742,0.133403,0.5077654,0,0.00516533,-0.00260138,430.3799,0.44465515,216.93995,258.71355,-48.906585,-9.544827,74.914495,1.428737,2054.5495,1.545315,0.0038597905,-0.086091705,-1.251119,0.02647406,95.905595
2,18.25,-9.927148,1.10315685,0.46410155,0.11454955,0.4211342,0,0.0587,0.06,430.10315,-0.12506945,219.16615,254.8087,-42.351125,-10.377835,79.98317,1.336627,2058.98,2.795431,0.00845766775,-0.1022447775,-1.082841125,0.0449847025,95.98139
2,18.75,-6.741878,-0.3920279,0.3870546085,0.11160385,0.40184955,0,0.0483107,0.01292539,430.59405,-0.14316665,217.42105,247.58445,-36.32703,-12.278835,81.435655,1.248846,2062.437,0.3158033,0.013055545,-0.11839785,-0.91456325,0.063495345,96.00775
2,19.25,-11.35737,1.6746385,0.341005902,0.094080095,0.2814096,0,0.27966005,0.2398502,430.5662,-0.1238362,216.2141,245.77895,-32.111895,-13.212755,82.450005,1.180387,2065.837,3.5746485,0.008574446,-0.1038655,-0.67279155,0.1459963,96.02616
2,19.75,-8.924943,-0.7764481,0.3744484925,0.1105324855,0.2723881,0,0.1060486,0.102459175,430.5147,-0.1222768,215.09235,244.43835,-29.883345,-13.76125,82.84465,1.023798,2067.599,2.770803,0.0089128905,-0.1127752,-0.7033095,0.003770019,96.04829
2,20.25,-6.1911705,-0.2208576,0.3351308025,0.104434778,0.2597762,0,0.2061149,0.2020955,431.7511,-0.11685345,208.93715,245.92935,-27.32539,-14.10293,83.186205,1.048331,2071.928,2.4619055,0.01109575,-0.09097084,-0.64699875,0.1767619,96.04613
2,20.75,-3.991402,-0.76050725,0.3459335,0.093854325,0.2608647,0,0.4490713,0.4276986,431.7847,-0.13141665,205.7584,243.6742,-26.335205,-14.176835,83.08668,0.9894122,2072.738,2.842346,0.012022445,-0.0852325,-0.49807855,0.07817689,96.0422
2,21.25,-6.35,-0.9236301,0.3976725,0.099390905,0.2484455,0,0.4113112,0.2960517,432.27205,-0.11529165,203.383,241.8975,-24.193835,-14.91883,83.1,0.960678,2082.499,3.39234,0.006942074,-0.116344,-0.49781005,0.078243195,96.05751
2,21.75,-5.19178,0.04,0.25256225,0.08566232,0.2385117,0,0.3242266,0.3277735,433.1793,-0.1137083,208.44865,242.2675,-21.546205,-15.39767,83.429995,0.9764873,2080.7675,3.928079,0.021742525,-0.07796754,-0.4984217,0.1115062,96.03193
2,22.25,-7.0131695,-1.435985,0.316737382,0.0952683,0.2212165,0,0.235513616,0.245,430.6248,-0.13251545,211.51465,239.306,-18.519815,-15.955555,83.96296,0.8873972,2081.063,1.19456175,0.001780042,-0.054261195,-0.512855,0.004768337,95.99827
2,22.75,-5.9199495,-0.43551595,0.2567092995,0.089385105,0.2262028,0,0.15958965,0.17912445,430.78905,-0.1245,215.27745,239.4931,-17.214195,-15.809,84.57666,0.8554589,2080.738,1.809924,0.0005810037,-0.04174636,-0.4212664,0.01915898,95.99354
2,23.25,-3.042372,-0.77521645,0.1981089765,0.08255,0.210718,0,0.1513808,0.1455016,432.47465,-0.11691665,216.08125,238.98755,-16.472975,-16.10267,85.67,0.8398636,2083.114,2.530556,0.006387834,-0.04800265,-0.237974,0.02000256,95.99424
2,23.75,-6.278888,-0.5262784,0.173796372,0.074514795,0.19040245,0,0.090784895,0.078365995,432.86205,-0.098208335,215.0847,238.659,-15.12279,-16.378505,84.463325,0.8631412,2082.194,2.3511835,0.02110895,-0.05039119,-0.2638256,0.002449306,95.99976
3,0.25,-7.418198,1.300954,0.5572817005,0.1024993095,0.3128854,0,0.0578,0.049187925,426.0174,0.02374999,271.5491,291.4315,-12.82875,-4.168233,88.20334,2.335154,2045.576,2.970763,0.004872606,-0.02541404,-0.2850456,0.032700665,95.84303
