DOY2,HR2,FC,H,LE,CO2,USTAR,TA,RH,PA,WS,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
4,9.75,-13.95943532,68.30579439,289.91426035,387.63,0.3953766005,26.02,80.85,99.368861835,1.7835,392.2,513.4,56.42,434,462.6
4,10.25,-15.831,73.14168625,315.4,384.095,0.3985879505,26.61,78.9,99.36519975,1.9135,437.25,565.5,60.58,437.3,466.4
4,10.75,-17.267,76.528,362.4255694,380.9211435,0.41693,27.02,76.765,99.335,1.939,464.2,588.3,65.2,439.5,470.5
4,11.25,-16.46194694,78.30897312,374.3935576,379.12,0.403445333,27.34,74.685,99.29016983,2.012,501.7,628,68.035,440.5,472.85
4,11.75,-17.12387172,83.5705,406.24,377.444091,0.4200238145,27.69,73.4,99.2335,2.001,521.25,637.8,69.96,441.5,473.85
4,12.25,-16.155143705,78.480393035,413.32,375.645,0.43011,27.69,72.86,99.17443601,2.007,527.7,641,70.99,442,475.1
4,12.75,-16.063066025,59.96987081,389.38494535,375.2055621,0.422322665,27.7,73.34,99.10926223,1.932,484.9,595.3,65.8,442.5,474.7
4,13.25,-14.4472748,53.4117104,359.46,376.43,0.41837,27.92,74.145,99.056966695,1.9605,440.8,550.9,58.08,441.1,472.7
4,13.75,-13.31334553,41.757083515,317.39,375.37610065,0.3953043135,27.3,75.205,98.98507584,1.7795,363.5,501.5,52.48,441.3,471.1
4,14.25,-11.94149388,37.819057885,270.12,374.48097925,0.374575,26.86,75.71,98.94,1.756,334.1,417.5,45.6,439.4,468.6
4,14.75,-11.583,27.04159021,238.8888254,374.465,0.3342481935,26.715,77.445,98.904,1.708,295.7,393.5,43.85,437.3,466.3
4,15.25,-9.3624,14.53642029,205.4436792,373.5188209,0.330097526,26.75,78.16,98.861,1.686,215.3,299.65,33.325,435.45,463.65
4,15.75,-7.092464205,8.7126,173.98,373.54,0.337813149,26.6,77.92,98.84690802,1.644,167.8,236.85,24.675,431.65,462.5
4,16.25,-4.907477784,-0.081185,109.24,373.9247306,0.3139162175,26.41,79.18,98.840492405,1.6335,117.5,174.4,20.08,428.8,458.1
4,16.75,-2.825775557,-2.957718691,76.8241011,373.96,0.253835637,25.77,81.3,98.844888755,1.496,53.9,100.5,12.675,426.3,455.8
4,17.25,-0.32006658,-4.6952,31.1535,373.49,0.1884,25.405,82.7,98.8675,1.339,11.21,51.52,7.441,423.2,452.1
4,17.75,0.77957,-4.9673427085,11.68414796,376.1824504,0.146720264,25,85.3,98.891,1.365,-17.185,13.32,3.167,420.6,449.1
4,18.25,0.953657119,-4.77505,6.787576514,377.775,0.13572,24.565,86.9,98.9285,1.389,-29.015,0,1.324,419.8,446
