DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,WS,USTAR,PA,G,TS_1_1_1
4,3.25,-0.9375,-75,-10.8375,-0.3726,-0.92,53.625,-63.31,0,0,0,0.6425,0.06,95.47025,-50.66,7.1
4,3.75,-0.56,-74.88,-9.7,-0.4035,-0.6875,53.08,-61.99,0,0,0,0.7845,0.05,95.46275,-49.605,6.9
4,4.25,-0.879999999999999,-67.5,-8.175,-0.408,-0.855,53.9,-61.3475,0,0,0,0.699,0.04025,95.394,-52.1075,6.8
4,4.75,-0.075,-66.4825,-9.625,-0.3849,-0.8775,53.96,-61.435,0,0,0,0.392,0.04,95.321,-51.46,6.6225
4,5.25,-1.4775,-78.12,-9.2375,-0.396,-0.8775,54.085,-61.8325,0,0,0,0.5045,0.067,95.351,-49.8325,6.5
4,5.75,-1.35,-67.125,-12.12,-0.348,-1.61,50.2875,-61.2075,0,0,0,0.6915,0.04875,95.39425,-49.34,6.4
4,6.25,-3.9925,-69.77,-5.32,-0.4089,-1.455,52.7875,-53.71,1.5675,0.2,1.3175,0.5585,0.04925,95.44075,-44.205,6.3225
4,6.75,-1.835,-77.85,-0.6,-0.408,-0.6325,49.4975,-18.285,4.17,0.4225,8.7425,0.579,0.0605,95.4425,-35.9625,6.245
4,7.25,-3.0975,-25.7125,8.8225,-0.5724,-0.1425,43.46,6.27,14.4675,1.745,27.9275,0.9955,0.1,95.5145,-29.36,6.1675
4,7.75,-5.4,-11.3375,4.52,-0.537,0.0600000000000002,38.4925,9.68,15.4075,1.835,34.4025,1.3725,0.1125,95.517,-24.565,6.1675
4,8.25,-5.5875,-0.4625,2.7675,-0.54,0.8375,32.5425,17.715,25.6575,3.1375,51.6975,1.183,0.13,95.545,-20.4325,6.345
4,8.75,-7.56,0.58,14.41,-0.564,2.345,30.6,31.095,42.25,5.01,77.0875,1.605,0.161,95.52175,-21.0075,6.7
4,9.25,-8.49,3.565,15.78,-0.7026,3.6125,28.815,31.8375,50.7875,6.635,96.6,1.9705,0.1745,95.46725,-16.7325,6.8675
4,9.75,-11.645,0.075,19.815,-0.7074,3.3925,27.46,46.7775,66.75,9.085,125.195,2.0175,0.173,95.44525,-16.8325,7.0225
4,10.25,-12.51,3.0375,19.035,-0.699,4.4575,27.235,59.3675,79.565,11.07,156.0525,1.65,0.13125,95.451,-14.0325,7.1225
4,10.75,-10.285,0.1625,12.3175,-0.7065,5.6675,25.8925,34.105,50.64,7.1475,105.5575,1.5815,0.13375,95.431,-13.21,7.2675
4,11.25,-9.15,8.915,21.88,-0.6342,6.6225,24.295,28.6875,45.8825,5.3075,98.69,1.5605,0.1315,95.3855,-9.31,7.845
4,11.75,-11.575,3.52,25.46,-0.684,7.0125,21.9125,82.6275,125.9175,18.3475,242.0575,1.336,0.19075,95.3245,-6.64,8.5
4,12.25,-8.47,16.7875,28.22,-0.6708,7.645,19.38,106.175,150.725,24.1475,288.6825,1.6175,0.131,95.28,-6.28,8.99
4,12.75,-7.7325,0.5625,24.6275,-0.714,7.9225,18.88,82.585,124.325,19.065,235.8375,1.2555,0.1275,95.24775,-6.83,9.4
4,13.25,-9.29,9.27,24.155,-0.696,8.035,18.7675,83.115,118.555,19.6875,228.235,1.6975,0.161,95.241,-6.5125,9.645
4,13.75,-6.5175,6.2025,29.325,-0.7311,7.66,18.78,69.195,99.98,16.47,190.58,1.2635,0.13,95.252,-8.8375,9.9225
4,14.25,-7.1775,3.015,17.7175,-0.7071,7.4475,18.96,46.435,65.4425,8.72,132.3175,1.4105,0.1245,95.27075,-4.7425,9.99
4,14.75,-7.3725,0.65,27.3,-0.6948,7.26,18.96,52.155,77.62,11.0025,146.475,1.3745,0.17025,95.28725,-10.44,10.09
4,15.25,-7.6,8.8375,20.2,-0.6114,7.35,19.07,46.2375,68.615,8.32,130.355,1.4725,0.121,95.336,-11.43,10.1125
4,15.75,-6.28,0.9925,19.82,-0.69,7.3725,19.8,37.82,57.6525,8.05,107.3175,0.89975,0.12,95.37475,-13.22,10.135
4,16.25,-7.95,-2.3575,16.0625,-0.7074,7.615,19.835,18.4275,27.7025,2.9575,61.9925,1.49625,0.153,95.43675,-13.9875,10.135
4,16.75,-4.9475,-20.7025,7.12,-0.6342,7.5025,19.7025,12.155,19.6725,2.1225,44.7075,1.41475,0.1115,95.47675,-15.195,10.1575
4,17.25,-3.3,-13.395,10.1,-0.528,7.5125,20.7025,7.69,12.2325,1.3025,27.08,1.2645,0.141,95.459,-21.39,10.2125
