DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2,TS_1,TS_2
2,14.25,1.79994893025,17.28316,19.515665,229.9,-1.31045,-2.9244,89.195,0.413000364275,92.2,190.41,8.83649999999999,426.6456,453.947375,-3.5543,8.87875,-0.623424999999999,-0.447925,0.3499,-0.5783,-0.611650000000002,-0.49965,438.145,-12.13325,-11.67875
2,14.75,1.9407605,19.8839749999999,21.943463277,210.8875,-1.06915,-2.95895,89.2325,0.404849475,92.2,177.6,10.195,397.461175,422.6002,-3.493225,9.22599999999999,-0.711400000000001,-0.4319,0.348,-0.505224999999999,-0.555124999999999,-0.489675,425.89,-12.0545,-11.72775
2,15.25,1.21816004345,18.229475,32.4525999999999,195.725,-0.914,-2.80125,89.1,0.418250625,92.2,163.5,8.28699999999997,382.836,384.298,-3.28675,8.938,-0.688600000000001,-0.4311,0.34895,-0.58315,-0.50755,-0.462,423.5,-12.0535,-11.736
2,15.75,2.0509766386,24.1221625,27.03161762875,164.625,-1.313,-2.6755,89.6,0.462146825,92.2125,138.9,7.95432499999998,298.3785,310.278,-3.163,9.292,-0.649150000000003,-0.432787500000001,0.35,-0.541,-0.4775,-0.405,422.75,-11.9915,-11.686
2,16.25,2.8492850896,27.7068975,35.2230951725,121.23,-1.303075,-2.53095,91.085,0.4618026,92.2125,116.4625,5.83079999999998,213.37975,229.9004,-2.973675,9.34,-0.661762500000002,-0.396037500000002,0.349,-0.5402,-0.499887500000001,-0.398375000000001,466.1275,-11.89,-11.64025
2,16.75,2.65772519075,25.6330999999999,33.909766045,86.215,-1.41442500000001,-2.557425,91.1,0.37829025,92.3,80.4527499999999,7.21544999999997,153.03175,161.554,-2.87125,8.458,-0.669650000000001,-0.413525,0.348975,-0.538225,-0.419712500000004,-0.3901,455.625,-11.897,-11.586
2,17.25,2.194857939,21.127095,32.52214378125,53.135,-1.655,-2.52375,91.2,0.3912316,92.3,45.45,8.60999999999999,89.0646999999997,95.726375,-2.855,8.72999999999999,-0.6726,-0.447075000000001,0.351,-0.455,-0.472,-0.381,456.04,-11.79325,-11.45975
2,17.75,2.493491469,19.6164375,29.0228,19.7794999999998,-1.948525,-2.4089,90.6025,0.4292023,92.3,16.84075,6.89227499999996,36.53625,36.18697,-2.8304,8.4485,-0.675862500000001,-0.460800000000002,0.354025,-0.455825,-0.42745,-0.374875,448.82,-11.9665,-11.5465
2,18.25,1.903011971,16.4048625,32.31428,3.83139999999996,-2.436225,-2.395975,92.0225,0.39057509635,92.3,4.2072,2.658125,13.718,12.0709,-2.711225,8.97,-0.661325000000001,-0.474012500000003,0.35305,-0.461975000000002,-0.406,-0.3915625,436.5625,-12.07375,-11.642
2,18.75,1.9518478791,14.829125,28.94995,0.767599999999998,-2.45225,-2.38675,92.2125,0.400607021,92.3,1.487375,4.246175,3.5561,3.07615,-2.761875,8.80025,-0.575775,-0.468199999999999,0.353125,-0.458375,-0.410125,-0.4080625,456.18,-12.036,-11.6825
2,19.25,1.94090009604999,15.19250870275,29.7427875,0.618549999999999,-2.2405,-2.3306,91.66,0.39432,92.3,1.0102,3.8618,2.0773,2.108005,-2.71195000000001,8.8435,-0.518424999999999,-0.462974999999999,0.3531,-0.466300000000002,-0.3598,-0.424450000000001,507.7925,-12.00525,-11.68775
