DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
3,21.25,0.5017775,12.9405,2.28445,-3.82205,18.565,72.988,99.59204,419.97,8.0188,2197.6,1.6864,2.938875,0.9115675,3.724,10.40125,14.6105
3,21.75,0.513585,12.467,2.3894,-2.932525,17.92,71.908,99.5955,421.69,8.02255,2196.9,1.680525,2.8401,0.8704075,3.1486,10.4085,14.741
3,22.25,0.5032725,12.1785,2.31965,-3.54,22.429,73.794,99.61949,421.785,7.8959,2208.45,1.6848,2.70775,0.91211,3.332,10.40675,15.0465
3,22.75,0.482025,11.913,2.13095,-4.497025,15.973,75.199,99.5978,422.015,8.0189,2227.3,1.6995,2.33235,1.2612,3.347275,10.39425,12.453
3,23.25,0.50027,11.463,2.0822,-6.287525,17.565,75.774,99.6124,421.5125,8.112525,2223.1,1.700925,2.596675,0.87645,3.3727,10.36225,11.115
3,23.75,0.448925,10.837,1.975175,-6.4439,17.013,76.8905,99.66093,422.205,8.12885,2251.3,1.7034,2.35455,0.60672,2.786575,10.32275,9.7214
4,0.25,0.445065,14.19775,2.0374,-6.975575,24.0725,74.8485,99.3962,428.7675,11.26425,2253.1,1.83935,3.03745,1.0413,3.282675,13.6195,15.618
4,0.75,0.4288,14.036,1.8623,-8.3125,21.367,75.294,99.3952225,430.75,11.184,2264.1,1.82765,2.5847,0.86349,3.4549,13.5795,22.069
4,1.25,0.429795,13.88075,1.759925,-8.15585,21.752,77.265,99.40928,432.16,11.31125,2267.05,1.8367,2.63285,0.8285975,2.866,13.5365,19.6095
4,1.75,0.428815,13.65225,1.853575,-7.2388,23.788,78.59725,99.4067675,429.455,10.746,2272.8,1.8193,2.488425,1.077,3.4439,13.547,15.99675
4,2.25,0.450555,13.531,1.838375,-6.93425,24.287,79.7755,99.4091025,430.65,10.884,2282.55,1.82455,2.9219,1.2632,3.2325,13.5515,19.278
4,2.75,0.43925,13.19525,1.9115,-7.1304,24.019,81.24025,99.41243,436.19,10.826,2301.6,1.8195,2.7319,1.2009,3.224825,13.5535,21.1365
4,3.25,0.41959,13.03025,1.82155,-6.3416,24.55375,82.12075,99.457615,437.4325,10.86375,2310.15,1.82205,3.0036,0.82354,3.04385,13.549,23.364
4,3.75,0.445135,13.03125,1.8703,-6.0712,23.142,82.86725,99.4700525,434.54,10.432,2281.5,1.8216,2.4637,0.73894,2.898,13.5355,23.799
4,4.25,0.428335,12.81775,1.94075,-7.4782,24.888,82.865,99.4593175,435.4675,10.58725,2305,1.8278,2.58735,0.846685,3.2997,13.5045,20.09275
4,4.75,0.421115,12.68275,2.01395,-7.098825,20.933,83.069,99.4570225,433.0825,10.3466,2312.1,1.82945,3.01505,1.145325,3.439275,13.463,25.1695
4,5.25,0.438365,12.55625,1.88545,-5.9357,22.895,83.62,99.4807325,434.835,9.96,2319.1,1.84005,2.99275,1.101875,3.5224,13.421,16.093
4,5.75,0.42054,12.56875,1.83825,-6.99425,24.03,85.26,99.5173725,442.48,9.9419,2346.15,6.5505,2.5464,1.2664,3.65095,13.3755,20.73125
4,6.25,0.448295,12.559,2.0477,-3.3254,23.6795,84.1855,99.5255,442.09,10.038,2340.2,51.9265,3.77715,1.2327,4.94835,13.3305,26.368
4,6.75,0.479075,12.592,2.093,6.10435,26.88775,83.48275,99.529805,443.975,10.31525,2286.45,144.505,4.026,0.67437,4.163775,13.2715,24.8995
4,7.25,0.501105,13.0745,2.2821,31.371,38.6515,79.054,99.53202,439.8375,10.5345,2256.7,292.315,5.5005,-0.0982665,3.2944,13.23,26.962
4,7.75,0.5446,13.2825,2.3717,56.849,48.13275,76.877,99.5454025,427.16,10.622,2215.4,436.85,3.712275,-0.2739775,2.109325,13.203,35.94425
