DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_2_1_1,VPD_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,NETRAD_1_1_1,PPFD_IN_2_1_1,TS_1_1_1,TS_1_2_1
2,21.25,0.180443,399.18125,-18.7,-0.0291005,3.0321685,2.81272,0.285995,64.1272,65.095,1.0465495,1.95153,-4.233,-0.09976175,0.2754391,2.4287655,100.6,-5.419,-5.831,-37.762,0,1.4,1.6
2,21.75,0.163535,398.8596,-17.38409,-0.060126,2.96104,2.822175,0.337129,65.0652,65.705,0.9939222,2.03863,-4.197,-0.095905445,0.2614496,2.4928375,100.57999925,-5.459,-6.12,-38.683,0,1.4,1.5
2,22.25,0.1953695,399.542,-17.2153,-0.08180125,2.974302,2.82728,0.32952885,66.8878,66.615,0.94334185,1.92977,-4.78,-0.1020675,0.262434,2.486607,100.525,-5.681,-6.205,-39.471,0,1.3,1.6
2,22.75,0.2304087,399.721,-17.255345,0.0138511,2.91074,2.83107,0.36797755,66.55058,68.72,0.9270808,1.63625,-5.053,-0.1086992,0.2840246,2.465133,100.5999985,-5.921,-6.444,-33.878,0,1.3,1.6
2,23.25,0.218629,399.7805,-18.364945,-0.05076337,2.9387275,2.870285,0.33391145,66.5224,69.9,0.904481,1.62466,-4.962,-0.1209323,0.29770545,2.429606,100.5999985,-6.14,-6.837,-30.723,0,1.4,1.6
2,23.75,0.223204,399.5965,-16.16923,-0.043259035,3.064731,2.46392,0.29552315,66.9762,70.87,0.889116,1.787965,-5.1708,-0.1085845,0.27202915,2.34698,100.58639925,-6.216,-7.13,-30.3435,0,1.4,1.6
3,0.25,0.39943505,400.183,-18.59772,-0.0475641,4.021908,5.65899,0.54130545,67.397,71.23,1.23202,1.112135,-0.8131,-0.07085137,0.2286633,2.36087,100.7,-1.424,-2.195,-39.2445,0,1.2,1.2
3,0.75,0.3815345,400.2815,-20.3292,-0.0202028,3.99581,5.672535,0.5305732,68.334175,72.53,1.21812,0.984313,-1.244,-0.071859,0.2328396,2.4013665,100.7,-1.5325,-2.316,-36.815,0,1.2,1.2
3,1.25,0.413046,400.6615,-19.00818,-0.0665233,4.008857,5.74903,0.516762,69.7654,74.2,1.138526,0.857421,-1.80045,-0.09907898,0.2636342,2.446777,100.6999969,-1.6515,-2.43,-37.2435,0,1.2,1.2
3,1.75,0.3880566,401.17,-19.49155,-0.0467764,4.02006,5.557685,0.453254,69.7535,74.39,1.069685,0.9570005,-2.02115,-0.07066038,0.234703,2.366403,100.62,-1.852,-2.54,-34.508,0,1.2,1.2
3,2.25,0.518707,401.0165,-18.31246,0.003854775,3.952992,5.61377,0.56077375,71.6429,75.09,1.03307,0.966398,-2.0079,-0.0907578,0.25996165,2.4342,100.6,-2.055,-2.6605,-30.47,0,1.2,1.2
3,2.75,0.493956,401.2285,-18.5901,-0.04555705,3.88225,5.56936,0.646457,71.8666,75.14,1.01021,0.8353095,-2.0702,-0.07576244,0.239838,2.543109,100.6,-2.151,-2.849,-30.077,0,1.2,1.2
3,3.25,0.483434,401.061,-19.881135,-0.0640202,3.85286,5.27241,0.47718115,71.11343,76.37,0.9617006,0.976338,-2.4753,-0.09286566,0.2662588,2.430017,100.6,-2.396,-3.06,-31.827,0,1.2,1.2
3,3.75,0.518052,401.089,-20.3354,-0.04201831,3.891423,5.3482,0.65391725,71.75069,76.66,0.9672355,1.00229,-2.2653,-0.1174409,0.2950114,2.4885455,100.6,-2.337,-3.165,-31.488,0,1.2,1.2
3,4.25,0.3771645,400.7763,-18.567,-0.12311465,3.87613,5.22203,0.474785,71.9744,77.27,0.92813115,0.925346,-2.679,-0.096237345,0.2709434,2.429105,100.6,-2.358,-3.31,-30.389,0,1.2,1.2
3,4.75,0.440978,400.833,-19.1671,-0.0035616,3.72115,5.148335,0.4961118,70.766245,77.36,0.8984701,1.170565,-2.922,-0.085872215,0.254207,2.406174,100.6,-2.467,-3.502,-27.668,0,1.2,1.2
