DOY2,HR2,FC,LE,H,SW_IN,TA,RH,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,PA,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,WS
3,20.25,0.152,-1.87,-8.252,0,23.55,89.6,0.06675,379.39725,383.28175,385.81425,390.7755,393.2265,404.31025,99.3,-0.3,406.34,439.511,-39.4275,0,1.32
3,20.75,0.12,-1.461,-8.6165,0,23.46225,90.1775,0.068,381.833,385.1,387.45,391.984,397.026,405.381,99.32825,-0.22,407.3,439.1925,-39.3025,0,1.3685
3,21.25,0.105,-1.795,-9.672,0,23.4,90.6,0.067,383.3045,386.4,389.2675,393.825,397.545,409.4,99.36225,-0.2,407.061,438.6535,-38.9115,0,1.32
3,21.75,0.20025,-2.18075,-8.7405,0,23.3,91.275,0.069,385.166,388.346,391.3435,395.75,399.442,408.3625,99.393,-0.2,407.109,438.601,-38.59,0,1.35925
3,22.25,0.12475,-1.85125,-8.1055,0,23.25,91.85,0.066,385.675,390.2165,392.175,398.15,401.8,409.2695,99.402,-0.2,408.8055,438.2525,-37.9585,0,1.342
3,22.75,0.21,-1.77,-7.4055,0,23.2,92.3,0.062,388.25,391.16725,392.9,398.375,403.75625,410.71175,99.418,-0.18,409.831,438.126,-37.55425,0,1.26
3,23.25,0.29425,-1.53425,-7.73,0,23.12,92.5,0.063,389.252,391.93525,394.22525,402.625,405.7,412.38525,99.422,-0.17,410.259,437.66575,-37.07775,0,1.237
3,23.75,0.233,-1.95,-7.57075,0,23.1,93.1,0.06175,390.191,392.77575,395.875,405.35,408.85,414.513,99.4195,-0.1715,410.683,437.571,-36.30325,0,1.26
4,0.25,0.328,-1.3195,-6.366,0,22.911,94.425,0.06025,391.5265,395.497,399.741,406.2555,411.753,420.1185,99.453,-0.191,414.60525,438.328,-35.619,0,1.18
4,0.75,0.235,-1.641,-6.363,0,22.8535,95.025,0.059,391.429,396.738,401.2,405.6745,412.567,421.337,99.456,-0.1875,414.67625,437.865,-35.02,0,1.16
4,1.25,0.6625,-1.6985,-6.1385,0,22.792,94.9,0.06,392.7,398.8495,402.05,406.9995,411.9875,422.898,99.439,-0.15925,413.5575,437.3855,-34.6905,0,1.17
4,1.75,0.55125,-1.506,-5.6345,0,22.759,95.4485,0.06,392.9155,399.411,402.83,408,413.9515,424.313,99.41,-0.14,414.634,436.90125,-33.8,0,1.116
4,2.25,0.689,-1.1605,-4.8885,0,22.68675,95.6,0.059,394.21675,400.625,405.55,409.3105,414.6,424.1825,99.397,-0.1235,415.705,436.45625,-33.469,0,1.1235
