DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
2,18.75,0.129,0.7515,2.331,0.2065,0.207,0.031,-15.277,-1.111,0.388,-0.014,-3.927,0.1855,0.717,52.575,76.91,383.408,3.115,-92.55,0,-2.251,0,0.9965,202.6,296.15,4.194,0
2,19.25,0.129,-0.108,2.398,0.227,0.204,0.023,-19.208,-0.714,0.345,-0.042,-4.11,0.186,0.717,55.58,76.93,384.638,2.87,-88.05,0,-2.012,0,1.03,204.05,293.05,4.06,0
2,19.75,0.149,-0.607,2.67,0.265,0.243,0.023,-25.639,-0.546,0.077,-0.06,-4.3735,0.189,0.724,56.63,76.93,384.728,2.58,-88.5,0,-1.9665,0,1.1085,199.9,292.55,4.1395,0
2,20.25,0.144,-1.3905,2.642,0.23,0.228,0.018,-25.183,-0.286,0.142,-0.0465,-4.563,0.1885,0.7165,57.125,76.93,384.518,2.44,-88.3,0,-1.877,0,1.1165,200.45,290.7,4.1875,0
2,20.75,0.147,-1.54,2.937,0.229,0.218,0.024,-25.738,-0.392,0.217,-0.005,-4.6,0.184,0.7165,57.84,76.945,384.818,2.32,-86.65,0,-1.6855,0,1.188,199.65,288.35,4.184,0
2,21.25,0.144,-1.7045,2.905,0.2545,0.239,0.018,-25.15,-0.244,0.387,-0.093,-4.6025,0.183,0.7235,59.95,76.95,385.405,2.26,-83.35,0,-1.6185,0,1.047,198.35,289.55,4.2285,0
2,21.75,0.146,-1.9515,2.807,0.259,0.253,0.019,-25.379,-0.389,0.323,-0.056,-4.4925,0.181,0.7155,61.07,76.945,385.508,2.02,-83,0,-1.5885,0,1.087,199.8,288.4,4.153,0
2,22.25,0.15,-1.926,2.962,0.257,0.2555,0.0105,-28.213,-0.1575,0.705,0.0435,-4.566,0.164,0.715,59.09,76.945,385.407,1.94,-83.4,0,-1.5235,0,1.1425,199.4,287.3,4.1475,0
2,22.75,0.1595,-2.0815,2.748,0.268,0.248,0.0185,-31.889,-0.317,0.3515,-0.033,-4.6095,0.158,0.716,61.26,76.945,385.759,1.88,-83.4,0,-1.592,0,1.061,198.9,285.7,4.0615,0
2,23.25,0.1805,-2.346,2.992,0.268,0.259,0.0085,-32.7915,-0.215,0.2175,-0.039,-4.6145,0.157,0.708,61.165,76.945,385.6515,2.07,-82.6,0,-1.5735,0,1.0945,199.05,285.15,4.095,0
2,23.75,0.1935,-2.165,2.842,0.265,0.263,0.009,-31.491,-0.218,0.473,-0.041,-4.6215,0.155,0.7025,61.96,76.925,385.611,1.975,-82.5,0,-1.674,0,1.09,197.95,284,4.0115,0
3,0.25,0.225,0.438,3.048,0.3,0.29,0.014,-28.721,-0.219,3.2285,-0.0035,-5.0495,0.8165,1.7735,51.43,76.9,386.415,2.95,-98.3,0,-1.9685,0,1.344,202.6,297.65,4.24,0
3,0.75,0.2245,0.2435,3.25,0.344,0.3425,0.0075,-32.227,-0.1995,3.022,0.068,-4.972,0.802,1.6615,51.99,76.89,386.571,2.88,-97.1,0,-2.0165,0,1.309,203.45,297.55,4.267,0
